Tier,Priority,Name / Brand,YouTube Channel,Approx Subscribers,Paid Products,LinkedIn URL,SEBI Status,Best Outreach Platform,Notes
T1 — Comment only (don't pitch yet),1,Pushkar Raj Thakur,@PushkarRajThakurOfficial,~15M,Multiple courses + masterminds + workshops; NISM-certified RA/MFD funnel,https://www.linkedin.com/in/pushkar-raj-thakur-624ba67a,No SEBI enforcement found. NISM-certified. Bound by 2025 finfluencer rules.,Comment on LinkedIn posts,India's largest trading educator. Audience IS your market. Comment for visibility — don't pitch yet.
T1 — Comment only,2,CA Rachana Phadke Ranade,@CA Rachana Phadke Ranade,~5.4M,Structured F&O + stock market courses on own platform,LinkedIn — active (URL not confirmed),No SEBI penalty found. Strongly educational positioning.,LinkedIn comments,Highest-trust trading creator. Comment weekly. Her followers = exact ICP.
T1 — Comment only,3,Pranjal Kamra (Finology),@PranjalKamra,~6.4M,Paid investing courses + premium research (Finology Select) + membership; SEBI-registered firm,Active on LinkedIn (Finology brand),Operates under SEBI-registered Finology Ventures. No adverse action.,LinkedIn comments,CEO of regulated fintech brand. Comment for credibility — don't pitch cold.
T1 — Comment only,4,Anish Singh Thakur (Booming Bulls),@BoomingBulls,~3.5M,Booming Bulls Academy (high-ticket courses) + Booming Bulls Finserv (SEBI-reg RA signals),https://in.linkedin.com/in/anish-singh-thakur-99006056,LAUNCHED SEBI-registered RA entity (INH000016348) in response to finfluencer crackdown.,LinkedIn + YouTube comments,"MOVED to SEBI-compliant structure. They are exactly the kind of creator who needs organic distribution that isn't 'paid advertising'."
T1 — Comment only,5,Vivek Bajaj (Elearnmarkets / StockEdge),@Elearnmarkets,~1M,Full stack: courses + StockEdge Club membership + SEBI-registered research/advisory,Active on LinkedIn (both he and the brand),Operates as regulated ecosystem. No adverse SEBI action. Clean end of spectrum.,LinkedIn,Partnership play — one deal = access to 1M+ learners. Comment to build relationship first.
T2 — Direct outreach (pitch after 1 case study),6,Neeraj Joshi,@NeerajJoshi5014,~4.9M,Paid course via Neeraj Joshi app + broker affiliate tieups + Telegram,Not confirmed on LinkedIn. Primarily YouTube + Telegram.,No SEBI enforcement found. Subject to finfluencer rules.,YouTube / Telegram DM,Heavy Telegram funnel — needs organic distribution outside his direct channel.
T2,7,Power of Stocks (Subhasish Pani),@PowerOfStocks,~2.1M,POS Traders Club (VIP community + app) + options/swing courses + mentorship,https://www.linkedin.com/in/subhasish-pani-63b82312b,No SEBI action. Heavy disclaimers on educational intent.,LinkedIn,VIP community model — clip distribution = more subscribers to community. Good fit.
T2,8,WeekendInvesting (Alok Jain),@WeekendInvesting,Mid-size but highly engaged,Paid Smallcases + Category-III AIF + mentorship + newsletters (momentum investing),Active on LinkedIn,SEBI-registered RA/IA. Tightly regulated marketing. Cannot run many paid ads.,LinkedIn,SEBI-registered = most willing to pay for organic/UGC distribution that isn't 'advertising'. High-priority Tier 2.
T2,9,Yadnya Investment Academy,@YadnyaInvestmentAcademy,~930K,Paid courses + StockOmeter + model portfolios + mutual fund research,Active LinkedIn presence (brand + analysts),Strongly SEBI-conscious. No penalties found. Fundamentals-focused.,LinkedIn,Conservative brand = needs authenticity of UGC over polished ads. Pitch angle: 'social proof from real investors'.
T2,10,Asset Yogi,@AssetYogi,Multi-million (exact TBC),Structured investing + real estate + personal finance courses + premium community,LinkedIn present (founder + brand),No SEBI enforcement. Dual niche (stocks + real estate).,LinkedIn,Broad finance audience = large potential clipper + viewer base for campaigns.
